name	ghidra_addr	body_bytes	callees	callers
Java_net_fishlabs_tapjoy_ToJNI_spentAmountOfCredits	0007b9bc	14	0	0
Java_net_fishlabs_playhaven_ToJNI_getCurrentApplicationModule	0007b9cc	14	1	0
Java_net_fishlabs_gof2hdallandroid2012_ToJNI_getLogoShown	0007b9d0	26	0	0
Java_net_fishlabs_gof2hdallandroid2012_ToJNI_isInMainMenu	0007b9d4	26	0	0
Java_net_fishlabs_gof2hdallandroid2012_GOF2HD2012_GetLeaderboardScore	0007b9d8	12	0	0
Java_net_fishlabs_gof2hdallandroid2012_GOF2HD2012_ResetLeaderboardScore	0007b9e8	14	0	0
Java_net_fishlabs_gof2hdallandroid2012_GOF2HD2012_GetAchievementId	0007b9fc	12	0	0
Java_net_fishlabs_gof2hdallandroid2012_GOF2HD2012_ResetAchievements	0007ba0c	16	0	0
Java_net_fishlabs_gof2hdallandroid2012_GOF2HD2012_GetShowAchievements	0007ba20	10	0	0
Java_net_fishlabs_gof2hdallandroid2012_GOF2HD2012_ResetShowAchievements	0007ba30	12	0	0
Java_net_fishlabs_gof2hdallandroid2012_GOF2HD2012_GetLinkGameGP	0007ba40	10	0	0
Java_net_fishlabs_gof2hdallandroid2012_GOF2HD2012_ResetLinkGameGP	0007ba50	12	0	0
Java_net_fishlabs_gof2hdallandroid2012_GOF2HD2012_GetShowLeaderboards	0007ba60	10	0	0
Java_net_fishlabs_gof2hdallandroid2012_GOF2HD2012_ResetShowLeaderboards	0007ba70	12	0	0
Java_net_fishlabs_gof2hdallandroid2012_GOF2HD2012_SetGPIsLinked	0007ba80	10	0	0
Mesh	0007ba90	250	5	1
MeshConvertToVBO	0007bbac	58	2	1
ReadEnhancedDataFromFile	0007bbec	1750	9	1
TransformRelease	0007c314	78	2	1
MeshRelease	0007c362	32	1	1
MeshReleaseIntern	0007c380	332	4	0
MeshCreate	0007c4d4	302	4	1
MeshReadData	0007c608	2572	22	1
ArrayAdd<AbyssEngine::Mesh*>	0007d050	36	1	1
MeshCreateFromFile	0007d074	768	14	1
MeshDraw	0007d3ac	350	9	1
MeshConvertToVBOIntern	0007d510	700	6	1
TransformConvertToVBO	0007d7e0	56	2	1
MeshIntersect	0007d818	670	1	1
initFileInterface	0007daf4	32	2	1
getAppVersion	0007db20	360	20	1
ActivateTextureFBO	0007dcbe	14	0	0
ActivateRender2TextureFBO	0007dccc	14	0	1
DeactivateRender2TextureFBO	0007dcda	14	0	1
ActivateRefractFBO	0007dce8	16	0	1
ActivateRender2FracFBO	0007dcf6	16	0	1
DeactivateRender2FracFBO	0007dd04	16	0	1
ActivateViewBuffer	0007dd14	34	1	1
CopyFBO	0007dd38	118	10	0
SwapBuffer	0007ddb4	26	0	1
GetDeviceInfo	0007ddd6	26	3	2
FileInterfaceAndroid	0007ddf4	28	0	1
FileInterfaceAndroid	0007de18	70	1	1
FileInterfaceAndroid	0007de68	42	0	0
FileInterfaceAndroid	0007de9c	182	0	0
~FileInterfaceAndroid	0007df88	46	1	1
~FileInterfaceAndroid	0007dfce	16	1	0
OpenRead	0007dfe0	430	13	0
OpenWrite	0007e208	172	9	0
Read	0007e2e4	316	9	0
CallIntMethod	0007e44c	52	1	1
String	0007e484	34	1	1
Write	0007e4ac	162	2	0
CallVoidMethod	0007e558	52	1	1
Seek	0007e590	80	4	1
GetFileSize	0007e5e0	38	2	0
GetStringLength	0007e60a	38	1	0
FileExist	0007e630	232	10	0
FileDelete	0007e764	44	3	0
Close	0007e7a0	72	3	1
SetAppRootDir	0007e7f4	6	0	0
SetZipDirectory	0007e7fa	6	0	0
GetDirPreFix	0007e80c	16	1	0
EaseInOutMatrix	0007e820	154	3	0
Matrix	0007e8d8	44	0	2
SetRange	0007e918	394	12	1
SetDuration	0007ead4	14	0	0
EaseInOutMatrix	0007eae2	214	3	1
operator-	0007ebd0	74	1	1
UpdateCurrentValue	0007ec1c	204	10	1
Increase	0007ed08	44	0	1
Decrease	0007ed34	44	0	0
RunOut	0007ed60	108	0	0
GetValue	0007edcc	14	1	1
SetToMaxValue	0007eddc	8	0	0
SetToMinValue	0007ede8	12	0	0
GetMinValue	0007edf2	12	1	0
GetMaxValue	0007edfe	14	1	1
operator+	0007ee0c	74	1	1
operator*	0007ee56	62	1	1
ImageRelease	0007ee94	34	2	1
ImageCreateRegionFromFile	0007eeb8	626	7	1
ImageCreateFontFromFile	0007f13c	896	9	1
ImageCreateFromFile	0007f4d4	672	9	1
TextureCreateFromFile	0007f7cc	40	1	1
TextureCreateFromFileIntern	0007f7f4	1956	24	1
ArrayAdd<AbyssEngine::AELoadedTexture*>	0007ffe8	36	1	1
AEPakFile	00080010	30	0	0
~AEPakFile	00080034	26	1	1
~AEPakFile	00080058	16	1	0
Read	00080068	58	0	0
Skip	000800a2	46	2	0
Release	000800d4	34	0	1
AENormalFile	000800f8	14	0	0
~AENormalFile	0008010c	26	1	1
~AENormalFile	00080130	16	1	0
Release	00080140	34	0	1
Read	00080162	14	0	0
Write	00080170	14	0	0
Skip	0008017e	14	0	0
GetFileSize	0008018c	14	0	0
SetInterface	0008019c	96	3	1
Array	0008021c	28	1	1
Array	00080238	28	1	1
Release	00080254	134	5	1
ArrayReleaseClasses<AELowLevelFile*>	000802e4	74	1	1
~Array	0008032e	22	1	1
~Array	00080344	22	1	1
sortPakFileEntryList	0008035c	90	0	1
collectFilesInPakFiles	000803bc	330	15	1
OpenRead	00080530	8	0	1
Read	00080538	48	0	2
crc32_ccitt	00080570	62	1	1
ArrayAdd<AEPakFileEntry*>	000805b4	36	1	1
Skip	000805d8	46	0	1
Close	00080610	64	0	1
RegisterPakFile	00080658	18	1	0
collectPakFiles	00080668	194	10	0
findPakFile	0008075c	322	6	1
Open	000808c4	440	13	0
ArrayAdd<AELowLevelFile*>	00080ac8	36	1	1
OpenRead	00080aec	58	4	1
OpenWrite	00080b38	8	0	1
OpenWrite	00080b40	58	4	0
OpenAppend	00080b8c	10	0	1
OpenAppend	00080b94	58	4	0
Read	00080be0	10	0	1
Read	00080bea	10	0	0
Read	00080bf4	10	0	4
Read	00080bfe	10	0	1
Read	00080c08	10	0	2
Read	00080c12	10	0	0
Read	00080c1c	10	0	1
Read	00080c26	10	0	1
Read	00080c30	10	0	4
Read	00080c3a	12	0	5
Read	00080c44	162	6	1
ReadSwitched	00080cec	26	1	5
ReadSwitched	00080d06	28	1	1
ReadSwitched	00080d22	28	1	3
ReadSwitched	00080d40	110	6	1
Write	00080db4	48	0	1
Write	00080dec	46	2	0
Write	00080e20	42	2	1
Write	00080e50	42	2	5
Write	00080e80	46	2	0
Write	00080eb4	46	2	1
Write	00080ee8	46	2	0
Write	00080f1c	46	2	0
Write	00080f50	42	2	1
Write	00080f80	46	2	3
Write	00080fb4	42	2	2
Write	00080fe4	138	5	1
GetFileSize	00081074	42	0	1
FileExist	000810a8	202	9	1
FileDelete	000811b8	88	3	1
GetDeviceFreeSpace	00081228	20	0	1
GetAppRootDir	00081240	20	0	1
SetAppRootDir	00081258	20	0	1
SetZipDirectory	00081270	20	0	0
SetSaveDirectory	00081288	80	3	0
ResetSaveDirectory	000812f0	18	0	0
CameraSetPerspective	0008130c	174	3	1
CameraSetPerspective	000813c0	140	3	1
CameraIsPointinViewFrustum	0008144c	374	13	1
CameraIsSphereinViewFrustum	000815cc	428	13	1
EaseInOut	00081780	28	1	2
UpdateCurrentValue	000817a8	96	1	1
EaseInOut	00081810	14	1	1
SetRange	00081820	26	0	2
Increase	00081840	70	0	2
Decrease	000818a8	70	0	0
RunOut	00081910	122	0	0
SetToMaxValue	000819b0	8	0	0
SetToMinValue	000819bc	10	0	0
GetMaxValue	000819cc	18	0	2
AERandom	000819e0	32	1	1
setSeed	00081a04	16	0	1
AERandom	00081a18	16	0	1
reset	00081a30	30	1	1
next	00081a54	76	0	0
nextInt	00081aa4	40	0	0
nextInt	00081ad0	16	0	30
Image2DRelease	00081b64	28	2	1
ImageFontDrawString	00081b80	58	1	1
ImageFontDrawString	00081bc0	1366	9	1
ImageFontCheckString	00082130	14	0	0
ImageFontGetWidth	0008213e	124	0	1
ImageFontGetHeight	000821ba	32	0	1
ImageFontGetYOffset	000821da	12	0	0
ImageFontGetWidth	000821e6	128	0	0
ImageFontSetSpacing	00082266	6	0	0
ImageFontGetSpacing	0008226c	12	0	0
ImageFontSetYOffset	00082278	6	0	0
ImageFontRelease	0008227e	106	3	1
Reverse	000822e8	134	4	1
operator[]	00082378	28	0	1
String	00082398	18	0	1
String	000823b0	40	2	2
Set	000823dc	168	3	1
String	00082488	40	2	2
Set	000824b4	170	2	1
String	00082564	42	2	2
~String	00082594	32	1	77
~String	000825b8	16	1	0
getWCharFromUtf8	000825d0	286	1	1
ConvertFromUTF8	0008270c	70	4	1
GetAEChar	00082752	50	1	1
operator[]	00082788	28	0	1
operator=	000827a8	20	1	1
ValueOf	000827bc	26	3	1
operator+=	000827d8	116	5	1
operator+=	00082850	74	2	1
operator+=	0008289c	98	5	1
String	00082904	30	1	1
operator+=	00082928	44	2	0
operator+=	00082958	96	5	0
String	000829bc	30	1	1
StrLen	000829e0	16	0	0
StrLen	000829f0	28	0	0
Set	00082a0c	204	3	1
MODF	00082adc	26	0	0
computeFloatString	00082af8	430	1	1
Set	00082cb0	334	13	1
operator+	00082e7c	74	4	1
SubString	00082ed8	144	5	1
