class	method	ghidra_addr	body	callees
AbyssEngine	TransformRelease	0007c314	78	2
AbyssEngine	MeshRelease	0007c362	32	1
AbyssEngine	MeshReleaseIntern	0007c380	332	4
AbyssEngine	MeshCreate	0007c4d4	302	4
AbyssEngine	MeshReadData	0007c608	2572	22
ArrayAdd<AbyssEngine	ArrayAdd<AbyssEngine::Mesh*>	0007d050	36	1
AbyssEngine	MeshCreateFromFile	0007d074	768	14
AbyssEngine	MeshDraw	0007d3ac	350	9
AbyssEngine	MeshConvertToVBOIntern	0007d510	700	6
AbyssEngine	TransformConvertToVBO	0007d7e0	56	2
AbyssEngine	MeshIntersect	0007d818	670	1
AbyssEngine::Engine	initFileInterface	0007daf4	32	2
AbyssEngine	getAppVersion	0007db20	360	20
AbyssEngine::Engine	ActivateTextureFBO	0007dcbe	14	0
AbyssEngine::Engine	ActivateRender2TextureFBO	0007dccc	14	0
AbyssEngine::Engine	DeactivateRender2TextureFBO	0007dcda	14	0
AbyssEngine::Engine	ActivateRefractFBO	0007dce8	16	0
AbyssEngine::Engine	ActivateRender2FracFBO	0007dcf6	16	0
AbyssEngine::Engine	DeactivateRender2FracFBO	0007dd04	16	0
AbyssEngine::Engine	ActivateViewBuffer	0007dd14	34	1
AbyssEngine::Engine	CopyFBO	0007dd38	118	10
AbyssEngine::Engine	SwapBuffer	0007ddb4	26	0
AbyssEngine::Engine	GetDeviceInfo	0007ddd6	26	3
FileInterfaceAndroid	FileInterfaceAndroid	0007ddf4	28	0
FileInterfaceAndroid	FileInterfaceAndroid	0007de18	70	1
FileInterfaceAndroid	FileInterfaceAndroid	0007de68	42	0
FileInterfaceAndroid	FileInterfaceAndroid	0007de9c	182	0
FileInterfaceAndroid	~FileInterfaceAndroid	0007df88	46	1
FileInterfaceAndroid	~FileInterfaceAndroid	0007dfce	16	1
FileInterfaceAndroid	OpenRead	0007dfe0	430	13
FileInterfaceAndroid	OpenWrite	0007e208	172	9
FileInterfaceAndroid	Read	0007e2e4	316	9
_JNIEnv	CallIntMethod	0007e44c	52	1
AbyssEngine::String	String	0007e484	34	1
FileInterfaceAndroid	Write	0007e4ac	162	2
_JNIEnv	CallVoidMethod	0007e558	52	1
FileInterfaceAndroid	Seek	0007e590	80	4
FileInterfaceAndroid	GetFileSize	0007e5e0	38	2
(free)	GetStringLength	0007e60a	38	1
FileInterfaceAndroid	FileExist	0007e630	232	10
FileInterfaceAndroid	FileDelete	0007e764	44	3
FileInterfaceAndroid	Close	0007e7a0	72	3
FileInterfaceAndroid	SetAppRootDir	0007e7f4	6	0
FileInterfaceAndroid	SetZipDirectory	0007e7fa	6	0
FileInterfaceAndroid	GetDirPreFix	0007e80c	16	1
AbyssEngine::EaseInOutMatrix	EaseInOutMatrix	0007e820	154	3
AbyssEngine::AEMath::Matrix	Matrix	0007e8d8	44	0
AbyssEngine::EaseInOutMatrix	SetRange	0007e918	394	12
AbyssEngine::EaseInOutMatrix	SetDuration	0007ead4	14	0
AbyssEngine::EaseInOutMatrix	EaseInOutMatrix	0007eae2	214	3
AbyssEngine	operator-	0007ebd0	74	1
AbyssEngine::EaseInOutMatrix	UpdateCurrentValue	0007ec1c	204	10
AbyssEngine::EaseInOutMatrix	Increase	0007ed08	44	0
AbyssEngine::EaseInOutMatrix	Decrease	0007ed34	44	0
AbyssEngine::EaseInOutMatrix	RunOut	0007ed60	108	0
AbyssEngine::EaseInOutMatrix	GetValue	0007edcc	14	1
AbyssEngine::EaseInOutMatrix	SetToMaxValue	0007eddc	8	0
AbyssEngine::EaseInOutMatrix	SetToMinValue	0007ede8	12	0
AbyssEngine::EaseInOutMatrix	GetMinValue	0007edf2	12	1
AbyssEngine::EaseInOutMatrix	GetMaxValue	0007edfe	14	1
AbyssEngine	operator+	0007ee0c	74	1
AbyssEngine	operator*	0007ee56	62	1
AbyssEngine	ImageRelease	0007ee94	34	2
AbyssEngine	ImageCreateRegionFromFile	0007eeb8	626	7
AbyssEngine	ImageCreateFontFromFile	0007f13c	896	9
AbyssEngine	ImageCreateFromFile	0007f4d4	672	9
AbyssEngine	TextureCreateFromFile	0007f7cc	40	1
AbyssEngine	TextureCreateFromFileIntern	0007f7f4	1956	24
ArrayAdd<AbyssEngine	ArrayAdd<AbyssEngine::AELoadedTexture*>	0007ffe8	36	1
AEPakFile	AEPakFile	00080010	30	0
AEPakFile	~AEPakFile	00080034	26	1
AEPakFile	~AEPakFile	00080058	16	1
AEPakFile	Read	00080068	58	0
AEPakFile	Skip	000800a2	46	2
AEPakFile	Release	000800d4	34	0
AENormalFile	AENormalFile	000800f8	14	0
AENormalFile	~AENormalFile	0008010c	26	1
AENormalFile	~AENormalFile	00080130	16	1
AENormalFile	Release	00080140	34	0
AENormalFile	Read	00080162	14	0
AENormalFile	Write	00080170	14	0
AENormalFile	Skip	0008017e	14	0
AENormalFile	GetFileSize	0008018c	14	0
AEFile	SetInterface	0008019c	96	3
Array<AEPakFileEntry*>	Array	0008021c	28	1
Array<AELowLevelFile*>	Array	00080238	28	1
AEFile	Release	00080254	134	5
(free)	ArrayReleaseClasses<AELowLevelFile*>	000802e4	74	1
Array<AELowLevelFile*>	~Array	0008032e	22	1
Array<AEPakFileEntry*>	~Array	00080344	22	1
AEFile	sortPakFileEntryList	0008035c	90	0
AEFile	collectFilesInPakFiles	000803bc	330	15
AEFile	OpenRead	00080530	8	0
AEFile	Read	00080538	48	0
AEFile	crc32_ccitt	00080570	62	1
(free)	ArrayAdd<AEPakFileEntry*>	000805b4	36	1
AEFile	Skip	000805d8	46	0
AEFile	Close	00080610	64	0
AEFile	RegisterPakFile	00080658	18	1
AEFile	collectPakFiles	00080668	194	10
AEFile	findPakFile	0008075c	322	6
AEFile	Open	000808c4	440	13
(free)	ArrayAdd<AELowLevelFile*>	00080ac8	36	1
AEFile	OpenRead	00080aec	58	4
AEFile	OpenWrite	00080b38	8	0
AEFile	OpenWrite	00080b40	58	4
AEFile	OpenAppend	00080b8c	10	0
AEFile	OpenAppend	00080b94	58	4
AEFile	Read	00080be0	10	0
AEFile	Read	00080bea	10	0
AEFile	Read	00080bf4	10	0
AEFile	Read	00080bfe	10	0
AEFile	Read	00080c08	10	0
AEFile	Read	00080c12	10	0
AEFile	Read	00080c1c	10	0
AEFile	Read	00080c26	10	0
AEFile	Read	00080c30	10	0
AEFile	Read	00080c3a	12	0
AEFile	Read	00080c44	162	6
AEFile	ReadSwitched	00080cec	26	1
AEFile	ReadSwitched	00080d06	28	1
AEFile	ReadSwitched	00080d22	28	1
AEFile	ReadSwitched	00080d40	110	6
AEFile	Write	00080db4	48	0
AEFile	Write	00080dec	46	2
AEFile	Write	00080e20	42	2
AEFile	Write	00080e50	42	2
AEFile	Write	00080e80	46	2
AEFile	Write	00080eb4	46	2
AEFile	Write	00080ee8	46	2
AEFile	Write	00080f1c	46	2
AEFile	Write	00080f50	42	2
AEFile	Write	00080f80	46	2
AEFile	Write	00080fb4	42	2
AEFile	Write	00080fe4	138	5
AEFile	GetFileSize	00081074	42	0
AEFile	FileExist	000810a8	202	9
AEFile	FileDelete	000811b8	88	3
AEFile	GetDeviceFreeSpace	00081228	20	0
AEFile	GetAppRootDir	00081240	20	0
AEFile	SetAppRootDir	00081258	20	0
AEFile	SetZipDirectory	00081270	20	0
AEFile	SetSaveDirectory	00081288	80	3
AEFile	ResetSaveDirectory	000812f0	18	0
AbyssEngine	CameraSetPerspective	0008130c	174	3
AbyssEngine	CameraSetPerspective	000813c0	140	3
AbyssEngine	CameraIsPointinViewFrustum	0008144c	374	13
AbyssEngine	CameraIsSphereinViewFrustum	000815cc	428	13
AbyssEngine::EaseInOut	EaseInOut	00081780	28	1
AbyssEngine::EaseInOut	UpdateCurrentValue	000817a8	96	1
AbyssEngine::EaseInOut	EaseInOut	00081810	14	1
AbyssEngine::EaseInOut	SetRange	00081820	26	0
AbyssEngine::EaseInOut	Increase	00081840	70	0
AbyssEngine::EaseInOut	Decrease	000818a8	70	0
AbyssEngine::EaseInOut	RunOut	00081910	122	0
AbyssEngine::EaseInOut	SetToMaxValue	000819b0	8	0
AbyssEngine::EaseInOut	SetToMinValue	000819bc	10	0
AbyssEngine::EaseInOut	GetMaxValue	000819cc	18	0
AbyssEngine::AERandom	AERandom	000819e0	32	1
AbyssEngine::AERandom	setSeed	00081a04	16	0
AbyssEngine::AERandom	AERandom	00081a18	16	0
AbyssEngine::AERandom	reset	00081a30	30	1
AbyssEngine::AERandom	next	00081a54	76	0
AbyssEngine::AERandom	nextInt	00081aa4	40	0
AbyssEngine::AERandom	nextInt	00081ad0	16	0
AbyssEngine	Image2DRelease	00081b64	28	2
AbyssEngine	ImageFontDrawString	00081b80	58	1
AbyssEngine	ImageFontDrawString	00081bc0	1366	9
AbyssEngine	ImageFontCheckString	00082130	14	0
AbyssEngine	ImageFontGetWidth	0008213e	124	0
AbyssEngine	ImageFontGetHeight	000821ba	32	0
AbyssEngine	ImageFontGetYOffset	000821da	12	0
AbyssEngine	ImageFontGetWidth	000821e6	128	0
AbyssEngine	ImageFontSetSpacing	00082266	6	0
AbyssEngine	ImageFontGetSpacing	0008226c	12	0
AbyssEngine	ImageFontSetYOffset	00082278	6	0
AbyssEngine	ImageFontRelease	0008227e	106	3
AbyssEngine::String	Reverse	000822e8	134	4
AbyssEngine::String	operator[]	00082378	28	0
AbyssEngine::String	String	00082398	18	0
AbyssEngine::String	String	000823b0	40	2
AbyssEngine::String	Set	000823dc	168	3
AbyssEngine::String	String	00082488	40	2
AbyssEngine::String	Set	000824b4	170	2
AbyssEngine::String	String	00082564	42	2
AbyssEngine::String	~String	00082594	32	1
AbyssEngine::String	~String	000825b8	16	1
AbyssEngine::String	getWCharFromUtf8	000825d0	286	1
AbyssEngine::String	ConvertFromUTF8	0008270c	70	4
AbyssEngine::String	GetAEChar	00082752	50	1
AbyssEngine::String	operator[]	00082788	28	0
AbyssEngine::String	operator=	000827a8	20	1
AbyssEngine::String	ValueOf	000827bc	26	3
AbyssEngine::String	operator+=	000827d8	116	5
AbyssEngine::String	operator+=	00082850	74	2
AbyssEngine::String	operator+=	0008289c	98	5
AbyssEngine::String	String	00082904	30	1
AbyssEngine::String	operator+=	00082928	44	2
AbyssEngine::String	operator+=	00082958	96	5
AbyssEngine::String	String	000829bc	30	1
AbyssEngine::String	StrLen	000829e0	16	0
AbyssEngine::String	StrLen	000829f0	28	0
AbyssEngine::String	Set	00082a0c	204	3
AbyssEngine	MODF	00082adc	26	0
AbyssEngine	computeFloatString	00082af8	430	1
AbyssEngine::String	Set	00082cb0	334	13
AbyssEngine	operator+	00082e7c	74	4
AbyssEngine::String	SubString	00082ed8	144	5
AbyssEngine::String	Compare	00082f80	64	0
AbyssEngine::String	Compare	00082fc0	68	0
AbyssEngine::String	IndexOf	00083004	100	0
AbyssEngine::String	IndexOf	00083068	10	0
AbyssEngine::String	ReplaceChar	00083070	50	0
AbyssEngine::String	ToUpperCase	000830a4	124	0
AbyssEngine::String	ToLowerCase	00083128	112	0
AbyssEngine::String	Trim	000831a8	114	4
AbyssEngine::String	Split	0008322c	170	8
Array<AbyssEngine::String*>	Array	000832f0	28	1
ArrayAdd<AbyssEngine	ArrayAdd<AbyssEngine::String*>	0008330c	36	1
ArrayRemoveAll<AbyssEngine	ArrayRemoveAll<AbyssEngine::String*>	00083330	34	2
Array<AbyssEngine::String*>	~Array	00083352	22	1
AbyssEngine::String	SplitTags	00083368	366	14
AbyssEngine::String	ReplaceString	00083530	208	7
AbyssEngine::String	GetStringLength	00083634	16	0
AbyssEngine::String	PrintOut	00083644	16	1
AbyssEngine	operator+	00083654	12	1
AbyssEngine	operator+	00083660	92	5
AbyssEngine	operator+	000836dc	76	5
AbyssEngine	operator+	0008373c	90	5
AbyssEngine::String	String	000837b4	34	1
AbyssEngine	operator+	000837dc	74	5
AbyssEngine	operator+	00083838	90	5
AbyssEngine	operator+	000838b0	74	5
AbyssEngine	operator==	0008390c	76	4
AbyssEngine::AEMath::Vector	operator[]	00083960	11	1
AbyssEngine::AEMath::Vector	operator=	0008396c	63	0
AbyssEngine::AEMath::Vector	operator-=	000839ac	207	0
AbyssEngine::AEMath::Vector	operator*=	00083a08	151	0
AbyssEngine::AEMath::Vector	operator/=	00083a64	127	0
AbyssEngine::AEMath	operator-	00083aa4	163	0
AbyssEngine::AEMath	operator-	00083afc	107	0
AbyssEngine::AEMath	operator*	00083b60	163	0
AbyssEngine::AEMath	operator/	00083bb4	115	0
AbyssEngine::AEMath	operator/	00083c10	143	0
AbyssEngine::AEMath	operator!=	00083c7e	64	0
AbyssEngine::AEMath	operator<	00083cbe	68	0
AbyssEngine::AEMath	operator>	00083d02	68	0
AbyssEngine::AEMath	operator<=	00083d46	68	0
AbyssEngine::AEMath	operator>=	00083d8a	68	0
AbyssEngine::AEMath	VectorIsEqual	00083dce	26	0
AbyssEngine::AEMath	VectorDot	00083dd2	42	0
AbyssEngine::AEMath	VectorCross	00083dfc	62	0
AbyssEngine::AEMath	VectorNormalize	00083e3c	60	1
AbyssEngine::AEMath	VectorLength	00083eb8	52	0
AbyssEngine::AEMath	VectorLerp	00083eec	66	0
AbyssEngine::AEMath::BSphere	Merge	00083f30	202	4
AbyssEngine::AEMath::BSphere	Merge	00084000	324	2
AbyssEngine::AEMath::BSphere	operator=	00084144	16	0
AbyssEngine::IApplicationModule	SetApplicationManager	00084154	8	0
AbyssEngine	CurveCreate	0008415c	56	3
AbyssEngine	CurveGetValue	00084194	398	1
AbyssEngine	CurveRelease	00084322	86	2
AbyssEngine::CheatCode	CheatCode	00084378	30	2
Array<unsigned_short>	Array	000843a4	28	1
AbyssEngine::CheatCode	~CheatCode	000843c0	26	2
Array<unsigned_short>	~Array	000843da	22	1
AbyssEngine::CheatCode	Update	000843f0	88	0
AbyssEngine::CheatHandler	CheatHandler	00084448	42	2
Array<AbyssEngine::CheatCode*>	Array	00084480	28	1
AbyssEngine::CheatHandler	~CheatHandler	0008449c	94	4
ArrayRemoveAll<AbyssEngine	ArrayRemoveAll<AbyssEngine::CheatCode*>	000844fe	34	2
Array<AbyssEngine::CheatCode*>	~Array	00084520	22	1
AbyssEngine::CheatHandler	AddCheatCode	00084538	190	5
ArrayAdd<AbyssEngine	ArrayAdd<AbyssEngine::CheatCode*>	0008460e	36	1
(free)	ArrayAdd<unsigned_short>	00084632	36	1
AbyssEngine::CheatHandler	SetCheatFunc	00084656	6	0
AbyssEngine::CheatHandler	Update	0008465c	66	1
AbyssEngine::Transform	Transform	000846a0	394	9
Array<AbyssEngine::Mesh*>	Array	00084880	28	1
Array<AbyssEngine::Transform*>	Array	0008489c	28	1
Array<AbyssEngine::KeyFrame*>	Array	000848b8	28	1
Array<AbyssEngine::KeyFrame*>	~Array	000848d4	22	1
Array<AbyssEngine::Transform*>	~Array	000848ea	22	1
Array<AbyssEngine::Mesh*>	~Array	00084900	22	1
AbyssEngine::Transform	Transform	00084918	508	17
ArraySet<AbyssEngine	ArraySet<AbyssEngine::KeyFrame*>	00084b6c	12	0
ArrayAdd<AbyssEngine	ArrayAdd<AbyssEngine::Transform*>	00084b76	36	1
AbyssEngine::Transform	CollectAnimationData	00084b9a	162	1
AbyssEngine::Transform	SetAnimationState	00084c3c	8	0
AbyssEngine::Transform	SetAnimationSpeed	00084c5c	6	0
AbyssEngine::Transform	InitAnimationRangeInTime	00084c62	102	2
AbyssEngine::Transform	Update	00084cc8	12	0
AbyssEngine::Transform	SetAnimationRangeInTime	00084e90	292	2
AbyssEngine::Transform	SetAnimationRangeInKeyFrames	00084fb4	80	1
AbyssEngine::Transform	SetAnimationLength	00085004	10	0
AbyssEngine::Transform	PauseAnimationWithKeyFrame	0008500e	52	1
AbyssEngine::Transform	InternUpdate	00085048	2024	19
AbyssEngine::Transform	PauseAnimationWithTimeStamp	00085888	24	1
AbyssEngine::Transform	AddKeyFrame	000858a0	130	4
AbyssEngine::KeyFrame	KeyFrame	00085934	102	3
ArrayAdd<AbyssEngine	ArrayAdd<AbyssEngine::KeyFrame*>	000859a0	36	1
AbyssEngine::Transform	InsertKeyFrame	000859c4	68	1
AbyssEngine::Transform	UpdateKeyFrames	00085a08	1288	1
AbyssEngine::Transform	InsertKeyFrame	00085f10	1178	8
AbyssEngine::Transform	InsertKeyFrame_old	0008640c	3778	12
AbyssEngine::Transform	IsRunning	000873fa	42	0
AbyssEngine::Transform	SetCurrentAnimationTime	00087424	6	0
AbyssEngine::Transform	SetVFCFlag	0008742a	78	1
AbyssEngine::Transform	InCameraVF	00087478	300	6
AbyssEngine::Transform	~Transform	000875a8	64	5
ArrayReleaseClasses<AbyssEngine	ArrayReleaseClasses<AbyssEngine::KeyFrame*>	000875e8	72	2
AbyssEngine::Transform	SetVisible	00087630	6	0
ArraySet<AbyssEngine	ArraySet<AbyssEngine::KeyFrame*>	00087636	60	2
AbyssEngine::PaintCanvas	PaintCanvas	00087674	370	13
Array<AbyssEngine::AELoadedTexture*>	Array	0008787c	28	1
Array<AbyssEngine::Resource*>	Array	00087898	28	1
Array<AbyssEngine::ImageFont*>	Array	000878b4	28	1
Array<AbyssEngine::Image2D*>	Array	000878d0	28	1
Array<AbyssEngine::Camera*>	Array	000878ec	28	1
Array<AbyssEngine::Material*>	Array	00087908	28	1
Array<AbyssEngine::SpriteSystem*>	Array	00087924	28	1
Array<AbyssEngine::AEMath::Matrix>	Array	00087940	64	2
Array<unsigned_int>	Array	0008798e	28	1
Array<AbyssEngine::AEMath::Matrix>	~Array	000879aa	22	1
Array<unsigned_int>	~Array	000879c0	22	1
Array<AbyssEngine::SpriteSystem*>	~Array	000879d6	22	1
Array<AbyssEngine::Material*>	~Array	000879ec	22	1
Array<AbyssEngine::Camera*>	~Array	00087a02	22	1
Array<AbyssEngine::Image2D*>	~Array	00087a18	22	1
Array<AbyssEngine::ImageFont*>	~Array	00087a2e	22	1
Array<AbyssEngine::Resource*>	~Array	00087a44	22	1
Array<AbyssEngine::AELoadedTexture*>	~Array	00087a5a	22	1
AbyssEngine::PaintCanvas	~PaintCanvas	00087a70	394	21
AbyssEngine::PaintCanvas	ReleaseAllResources	00087c84	552	17
AbyssEngine::ResourceTexture	~ResourceTexture	00087ebc	20	1
AbyssEngine::ResourceMesh	~ResourceMesh	00087ed0	20	1
AbyssEngine::ResourceTransform	~ResourceTransform	00087ee4	32	1
ArrayRelease<AbyssEngine	ArrayRelease<AbyssEngine::Mesh*>	00087f04	20	1
ArrayRelease<AbyssEngine::AEMath	ArrayRelease<AbyssEngine::AEMath::Matrix>	00087f18	20	1
(free)	ArrayRelease<unsigned_int>	00087f2c	20	1
AbyssEngine::PaintCanvas	SetResourceList	00087f40	16	0
ArrayAdd<AbyssEngine	ArrayAdd<AbyssEngine::Resource*>	00087f4e	54	2
AbyssEngine::PaintCanvas	AddResource	00087f84	14	0
ArrayAdd<AbyssEngine	ArrayAdd<AbyssEngine::Resource*>	00087f90	36	1
AbyssEngine::PaintCanvas	GetMeshResourceId	00087fb4	86	1
AbyssEngine::PaintCanvas	GetMeshResourceId	0008800a	76	1
AbyssEngine::PaintCanvas	GetTextureResourceId	00088056	76	1
AbyssEngine::PaintCanvas	GetReverseString	000880a4	78	4
AbyssEngine::PaintCanvas	GetReverseString	00088104	112	6
AbyssEngine::PaintCanvas	CheckString	00088194	46	1
AbyssEngine::PaintCanvas	DrawString	000881c0	82	2
AbyssEngine::PaintCanvas	SetTexture	00088212	8	0
AbyssEngine::PaintCanvas	DrawString	00088218	90	3
AbyssEngine::PaintCanvas	DrawStringColor	00088274	308	16
AbyssEngine::PaintCanvas	GetColor	000883d4	82	0
AbyssEngine::PaintCanvas	GetTextWidth	0008842c	48	1
AbyssEngine::PaintCanvas	SetColor	00088460	128	1
ArrayReleaseClasses<AbyssEngine	ArrayReleaseClasses<AbyssEngine::String*>	000884e8	74	1
AbyssEngine::PaintCanvas	DrawRegion2D	00088538	686	10
AbyssEngine::PaintCanvas	SetWorldViewMatrix	00088810	8	0
AbyssEngine::PaintCanvas	DrawRegion2D	00088818	538	12
AbyssEngine::PaintCanvas	RestoreImage2D	00088a60	204	0
AbyssEngine::PaintCanvas	MeshSet2DMask	00088b30	48	1
AbyssEngine::PaintCanvas	MeshClear2DMask	00088b60	6	0
AbyssEngine::PaintCanvas	DrawImage2D	00088b68	200	7
AbyssEngine::PaintCanvas	DrawImage2D	00088c48	312	7
AbyssEngine::PaintCanvas	GetImage2DWidth	00088d9c	24	0
AbyssEngine::PaintCanvas	GetImage2DHeight	00088db4	24	0
AbyssEngine::PaintCanvas	DrawImage2D	00088dd0	462	7
AbyssEngine::PaintCanvas	GetWidth	00088fb4	8	0
AbyssEngine::PaintCanvas	GetHeight	00088fba	8	0
AbyssEngine::PaintCanvas	DrawImage2D	00088fc0	686	9
AbyssEngine::PaintCanvas	FillRectangle	00089288	200	4
AbyssEngine::PaintCanvas	DrawRectangle	00089368	336	8
AbyssEngine::PaintCanvas	DrawLine	000894d8	408	8
AbyssEngine::PaintCanvas	DrawMesh	0008968c	22	0
AbyssEngine::PaintCanvas	DrawTransform	000896a0	550	11
AbyssEngine::PaintCanvas	DrawTransform	000898e4	206	6
AbyssEngine::PaintCanvas	TextureCreateGlobal	000899b8	118	6
AbyssEngine::PaintCanvas	TextureCreate	00089a34	150	4
AbyssEngine::PaintCanvas	FindResource	00089ad0	48	0
AbyssEngine::PaintCanvas	TextureCreate	00089b00	18	1
AbyssEngine::PaintCanvas	FontCreate	00089b14	220	6
ArrayAdd<AbyssEngine	ArrayAdd<AbyssEngine::ImageFont*>	00089bf4	36	1
AbyssEngine::PaintCanvas	FontSetSpacing	00089c18	26	0
AbyssEngine::PaintCanvas	FontGetSpacing	00089c30	26	0
AbyssEngine::PaintCanvas	FontSetYOffset	00089c48	26	0
AbyssEngine::PaintCanvas	FontGetYOffset	00089c60	26	0
AbyssEngine::PaintCanvas	Image2DCreate	00089c78	186	6
ArrayAdd<AbyssEngine	ArrayAdd<AbyssEngine::Image2D*>	00089d38	36	1
AbyssEngine::PaintCanvas	MeshCreate	00089d5c	216	8
AbyssEngine::PaintCanvas	MaterialCreate	00089e4c	206	7
AbyssEngine::PaintCanvas	MeshCreate	00089f2c	132	4
AbyssEngine::PaintCanvas	MeshCreate	00089fb4	84	3
AbyssEngine::PaintCanvas	MeshSetTriangleCount	0008a00c	30	0
AbyssEngine::PaintCanvas	MeshSetPoint	0008a02a	58	0
AbyssEngine::PaintCanvas	MeshTranslatePoint	0008a064	82	0
AbyssEngine::PaintCanvas	MeshSetUv	0008a0b8	64	0
AbyssEngine::PaintCanvas	MeshSetColor	0008a100	126	0
AbyssEngine::PaintCanvas	MeshSetColor	0008a188	62	0
AbyssEngine::PaintCanvas	MeshSetTriangle	0008a1c6	60	0
AbyssEngine::PaintCanvas	MeshSetNormal	0008a202	48	1
AbyssEngine::PaintCanvas	MeshSetTangent	0008a232	48	1
AbyssEngine::PaintCanvas	MeshSetBiTangent	0008a262	48	1
AbyssEngine::PaintCanvas	MeshConvertToVBO	0008a292	20	0
AbyssEngine::PaintCanvas	MeshChangeShaderAnimValue	0008a2a4	48	0
AbyssEngine::PaintCanvas	MeshChangeShaderAnimValue	0008a2d2	80	2
AbyssEngine::PaintCanvas	MeshChangeMaterialIntern	0008a322	80	2
AbyssEngine::PaintCanvas	MeshChangeMaterialIntern	0008a372	16	0
AbyssEngine::PaintCanvas	MeshCloneMaterial	0008a380	74	3
AbyssEngine::Material	Material	0008a3d8	212	6
ArrayAdd<AbyssEngine	ArrayAdd<AbyssEngine::Material*>	0008a4ec	36	1
AbyssEngine::PaintCanvas	MeshChangeResourceMaterial	0008a510	48	1
AbyssEngine::PaintCanvas	MeshChangeMaterial	0008a540	36	0
AbyssEngine::PaintCanvas	MeshResourceChangeMaterial	0008a562	44	0
AbyssEngine::PaintCanvas	MeshResourceChangeAllMaterial	0008a58e	46	0
AbyssEngine::PaintCanvas	MeshGetPointer	0008a5bc	16	0
AbyssEngine::PaintCanvas	MeshGetTriCount	0008a5cc	38	2
AbyssEngine::PaintCanvas	TransformGetTriCount	0008a5f2	84	2
AbyssEngine::PaintCanvas	SpriteSystemCreate	0008a648	170	4
ArrayAdd<AbyssEngine	ArrayAdd<AbyssEngine::SpriteSystem*>	0008a6f8	36	1
AbyssEngine::PaintCanvas	SpriteSystemCreate	0008a71c	126	3
AbyssEngine::PaintCanvas	SpriteSystemSetAllSize	0008a7a0	30	0
AbyssEngine::PaintCanvas	SpriteSystemSetAllUv	0008a7bc	60	1
AbyssEngine::PaintCanvas	SpriteSystemSetUv	0008a7f8	72	1
AbyssEngine::PaintCanvas	SpriteSystemSetRGBA	0008a840	72	1
AbyssEngine::PaintCanvas	SpriteSystemSetSize	0008a888	42	0
AbyssEngine::PaintCanvas	SpriteSystemAddSize	0008a8b2	52	0
AbyssEngine::PaintCanvas	SpriteSystemGetPosition	0008a8e6	188	0
AbyssEngine::PaintCanvas	SpriteSystemGetPosition	0008a9a2	52	0
AbyssEngine::PaintCanvas	SpriteSystemSetPosition	0008a9d6	62	0
AbyssEngine::PaintCanvas	SpriteSystemAddPosition	0008aa14	86	0
AbyssEngine::PaintCanvas	DrawSpriteSystem	0008aa70	396	10
AbyssEngine::PaintCanvas	DrawSpriteSystem	0008ac20	362	9
AbyssEngine::PaintCanvas	DrawSpriteSystem	0008adb0	406	9
AbyssEngine::PaintCanvas	TransformCreate	0008af64	250	9
AbyssEngine::PaintCanvas	TransformCreate	0008b070	50	3
AbyssEngine::PaintCanvas	TransformAddMesh	0008b0b0	16	0
AbyssEngine::PaintCanvas	TransformRemoveMesh	0008b178	46	1
AbyssEngine::PaintCanvas	TransformRemoveMeshId	0008b1a4	36	0
AbyssEngine::PaintCanvas	TransformAddMeshId	0008b1c6	194	4
ArrayRemove<AbyssEngine	ArrayRemove<AbyssEngine::Mesh*>	0008b288	68	1
AbyssEngine::PaintCanvas	TransformSetLocal	0008b2cc	34	1
AbyssEngine::PaintCanvas	TransformAddChild	0008b2ee	94	2
AbyssEngine::PaintCanvas	TransformRemoveChild	0008b34c	62	1
ArrayRemove<AbyssEngine	ArrayRemove<AbyssEngine::Transform*>	0008b388	68	1
AbyssEngine::PaintCanvas	TransformGetLocal	0008b3cc	64	2
AbyssEngine::PaintCanvas	TransformSetColor	0008b410	20	0
AbyssEngine::PaintCanvas	TransformGet2DPickedTextureRegion	0008b424	354	6
AbyssEngine::PaintCanvas	TransformGet2DPickedTextureRegion	0008b590	218	6
AbyssEngine::PaintCanvas	TransformGetTransform	0008b67c	8	0
AbyssEngine::PaintCanvas	TransformGetTriCount	0008b690	26	0
AbyssEngine::PaintCanvas	CameraCreate	0008b6a8	104	5
AbyssEngine::Camera	Camera	0008b724	56	2
ArrayAdd<AbyssEngine	ArrayAdd<AbyssEngine::Camera*>	0008b75c	36	1
AbyssEngine::PaintCanvas	CameraSetLocal	0008b780	36	1
AbyssEngine::PaintCanvas	CameraGetLocal	0008b7a4	68	2
AbyssEngine::PaintCanvas	CameraSetCurrent	0008b7ec	28	0
AbyssEngine::PaintCanvas	SetProjectionMatrix3d	0008b808	324	4
AbyssEngine::PaintCanvas	CameraGetCurrent	0008b968	18	0
AbyssEngine::PaintCanvas	CameraGetCurrentFactor1	0008b97a	36	0
AbyssEngine::PaintCanvas	CameraSetPerspective	0008b99e	128	3
AbyssEngine::PaintCanvas	CameraSetPerspective	0008ba1e	120	3
AbyssEngine::PaintCanvas	CameraIsPointinViewFrustum	0008ba98	258	6
AbyssEngine::PaintCanvas	CameraIsSphereinViewFrustum	0008bbb8	272	6
AbyssEngine::PaintCanvas	GetScreenPosition	0008bce8	88	2
AbyssEngine::PaintCanvas	GetScreenPosition	0008bd58	576	12
